Bradi1g33940.1.p	BdExo70G2
Seita.4G285400.1.p	
Seita.4G285500.1.p	
Seita.4G285700.1.p	
Seita.4G285800.1.p	
Seita.5G035600.1.p	
Seita.5G175300.1.p	
Seita.5G328000.1.p	
Seita.5G366100.1.p	
Seita.5G366200.1.p	
Seita.5G419400.1.p	
Seita.5G419600.1.p	
Seita.5G431300.1.p	
Seita.5G431900.1.p	
Seita.5G432000.1.p	
Seita.5G432100.1.p	
Seita.5G432200.1.p_191_611	
Seita.6G171200.1.p	
Seita.6G212800.1.p	
Seita.6G222200.1.p	
Seita.7G070200.1.p	
Seita.7G292600.1.p	
Seita.7G295900.1.p	
Seita.8G040000.1.p	
Seita.8G045500.1.p	
Seita.9G423500.1.p	
Sobic.002G215100.1.p	
Sobic.003G155600.1.p	
Sobic.003G305400.1.p	
Sobic.003G341700.2.p	
Sobic.003G341800.1.p	
Sobic.003G393400.1.p	
Sobic.003G393500.1.p	
Sobic.003G405700.1.p	
Sobic.004G041100.1.p	
Sobic.004G153600.1.p	
Sobic.005G044300.5.p	
Sobic.005G049200.1.p	
Sobic.006G047100.1.p	
Sobic.006G274600.1.p	
Sobic.007G148700.1.p	
Sobic.007G194400.1.p	
Sobic.007G202700.1.p	
Sobic.008G000500.1.p	
Sobic.008G043600.1.p	
Sobic.008G048200.1.p	
Sobic.009G171000.1.p	
Sobic.010G044700.1.p	
Sobic.010G248100.1.p	
Sobic.010G269950.1.p	
Sobic.010G271501.1.p	
Sobic.010G271600.1.p	
Sobic.010G271700.1.p	
Sobic.010G271800.1.p	
Sobic.010G271901.1.p	
Sobic.010G272000.2.p	
Sobic.010G272101.1.p	
Sobic.010G272200.1.p	
Sobic.010G272400.2.p	
Sobic.010G272501.1.p	
Sobic.010G272700.1.p	
AT5G03540.1	AtExo70A1
AT5G52340.1	AtExo70A2
AT5G52350.1	AtExo70A3
AT5G58430.1	AtExo70B1
AT1G07000.1	AtExo70B2
AT5G13150.1	AtExo70C1
AT5G13990.1	AtExo70C2
AT1G72470.1	AtExo70D1
AT1G54090.1	AtExo70D2
AT3G14090.1	AtExo70D3
AT3G29400.1	AtExo70E1
AT5G61010.1	AtExo70E2
AT5G50380.1	AtExo70F1
AT4G31540.1	AtExo70G1
AT1G51640.1	AtExo70G2
AT3G55150.1	AtExo70H1
AT2G39380.1	AtExo70H2
AT3G09530.1	AtExo70H3
AT3G09520.1	AtExo70H4
AT2G28640.1	AtExo70H5
AT1G07725.1	AtExo70H6
AT5G59730.1	AtExo70H7
AT2G28650.1	AtExo70H8
